schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,P51,null,36,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,N52,null,"""наше 250 мм с 1 слоем гвл""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,O52,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,P52,null,33,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,N53,null,"""наше 250 мм с 2 слоем гвл""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,O53,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,P53,null,37,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,N54,null,"""С-П 50""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,O54,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,P54,"{""text"":""16.03*1.2"",""type"":null,""shared_index"":null,""ref"":null}",19.236,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,N55,null,"""С-П 80""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,O55,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,P55,"{""text"":""19.43*1.2"",""type"":null,""shared_index"":null,""ref"":null}",23.316,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,N56,null,"""С-П 100""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,O56,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,P56,"{""text"":""21.18*1.2"",""type"":null,""shared_index"":null,""ref"":null}",25.416,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,N57,null,"""С-П 120""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,N44:P63,2026-09-16,covering key; self weight kg/m2,O57,null,null,n
