code;name_old;name_new;row_old;row_new;price_old;price_new;delta;pct;unit_old;unit_new;weight_old;weight_new;price_ton_old;price_ton_new;name_changed;unit_changed;weight_changed
1669;Фальц Pragmatic (ФК3) (Оцинк.);Фальц Pragmatic (ФК3) (Оцинк.);2114;1729;553.0;594.0;41.0;0.07414104882459313;м2;м2;3.9744;3.9744;139142.0;149458.0;False;False;False
1671;Фальц Standart (ФК4) (Оцинк.);Фальц Standart (ФК4) (Оцинк.);2119;1731;553.0;594.0;41.0;0.07414104882459313;м2;м2;3.8544;3.8544;143474.0;154112.0;False;False;False
1230;НПП 60х17х0,5 (Оцинк.);НПП 60х17х0,5 (Оцинк.);718;325;54.0;58.0;4.0;0.07407407407407407;п.м;п.м;0.3729;0.3729;144811.0;155538.0;False;False;False
106782;Штакетник 20х80х20 (ШТ 20х80х20) 0,5 декор;Штакетник 20х80х20 (ШТ 20х80х20) 0,5 декор;2166;272;124.0;133.0;9.0;0.07258064516129033;п.м;п.м;0.519;0.519;238921.0;256262.0;False;False;False
63463;Лист плоский декор;Лист плоский декор;561;1437;699.0;749.0;50.0;0.0715307582260372;м2;м2;3.56;3.56;196348.0;210393.0;False;False;False
105243;Профиль шляпный 20х50х20 (НПШ 20х50х20) 0,7 (Оцинк.);Профиль шляпный 20х50х20 (НПШ 20х50х20) 0,7 (Оцинк.);1317;482;84.0;90.0;6.0;0.07142857142857142;п.м;п.м;0.6413;0.6413;130984.0;140340.0;False;False;False
1586;Ендова нижняя (ЕН) 2м (Оцинк.);Ендова нижняя (ЕН) 2м (Оцинк.);111;1181;878.0;939.0;61.0;0.06947608200455581;шт;шт;4.34;4.34;202304.0;216359.0;False;False;False
89317;Конек плоский широкий 290 (КП290) 2м (Оцинк.);Конек плоский широкий 290 (КП290) 2м (Оцинк.);345;1185;878.0;939.0;61.0;0.06947608200455581;шт;шт;4.34;4.34;202304.0;216359.0;False;False;False
69224;Планка начальная КФ-2 (ПНКФ2) 1,0х3м (Колор-поток);Планка начальная КФ-2 (ПНКФ2) 1,0х3м (Колор-поток);1114;1226;881.0;942.0;61.0;0.06923950056753689;шт;шт;2.909;2.909;302853.0;323823.0;False;False;False
2263;Фальц Classic (ФК1) 0,7;Фальц Classic (ФК1) 0,7;2103;1735;1144.0;1223.0;79.0;0.06905594405594405;м2;м2;5.6365;5.6365;202962.0;216977.0;False;False;False
2264;Фальц Elegant (ФК2) 0,7;Фальц Elegant (ФК2) 0,7;2109;1737;1144.0;1223.0;79.0;0.06905594405594405;м2;м2;5.6365;5.6365;202962.0;216977.0;False;False;False
2294;Фальц Pragmatic (ФК3) 0,7;Фальц Pragmatic (ФК3) 0,7;2115;1739;1144.0;1223.0;79.0;0.06905594405594405;м2;м2;5.5952;5.5952;204460.0;218579.0;False;False;False
